feature,gain,split
last_visible_tvt,10036611800.234375,19589.6
x_current,5688559921.697266,16455.2
y_current,4898017474.991406,12979.0
z_current,3750483077.023828,13952.8
dz_from_visible_end,3563456345.658984,9629.0
dx_from_visible_end,2342608579.2571287,8077.0
dy_from_visible_end,2321460109.3038573,7774.8
dxy_from_visible_end,1596423848.5676758,7156.4
md_since_visible_end,1208536984.6018066,5554.2
hidden_fraction,994523833.6257324,5697.2
gr_raw,326227891.4189941,2304.6
gr_missing,14456341.317382812,72.2
