well_id,pad_id,fold,representative_x,representative_y,total_rows,visible_rows,hidden_rows
000d7d20,000d7d20,0,2983514.050000,1071406.680000,5278,1442,3836
00bbac68,00bbac68,1,3008508.550000,1086905.960000,7559,1545,6014
00e12e8b,00e12e8b,2,2969586.005000,1062517.050000,6384,2083,4301
015fe0d2,015fe0d2,0,3000226.560000,1075559.775000,5950,1654,4296
01869cd4,01869cd4,0,2973619.735000,1065930.640000,6850,1293,5557
01982c1d,01982c1d,3,2995564.250000,1124173.730000,5587,1646,3941
028d7b28,028d7b28,4,3007596.480000,1069823.810000,7761,1527,6234
02e7fe5a,02e7fe5a,4,2985930.920000,1061506.420000,6888,1780,5108
0390d174,0390d174,1,3000849.010000,1125597.680000,6101,1690,4411
03a935ae,03a935ae,0,3034615.295000,1088685.080000,4430,1644,2786
044af7d1,044af7d1,1,3009910.000000,1108300.660000,6067,1548,4519
0498acab,0498acab,3,2991489.410000,1093218.885000,6432,1634,4798
052d64df,052d64df,1,2979945.125000,1098938.660000,4590,2145,2445
05948241,05948241,4,2957609.675000,1088894.325000,5428,1549,3879
059c8f24,059c8f24,1,2915385.610000,1064209.405000,7998,1740,6258
05a0ee4d,05a0ee4d,3,2993628.555000,1102850.035000,6098,1750,4348
060ab2b8,060ab2b8,3,2898849.225000,1028498.365000,7818,1560,6258
06df5958,06df5958,0,2905079.190000,1025452.940000,5039,1530,3509
071d7b45,071d7b45,4,2945548.365000,1079182.925000,4720,1509,3211
0849b4e2,0849b4e2,2,3021503.495000,1116118.900000,7436,1899,5537
084d66f9,084d66f9,3,2931101.725000,1055022.695000,5632,1747,3885
08fecf00,08fecf00,2,3021903.020000,1116172.100000,7405,1831,5574
09053135,09053135,2,2990964.060000,1086203.870000,7715,1808,5907
09441b8d,09441b8d,2,2906287.470000,1040806.050000,7395,1907,5488
0955cd6c,0955cd6c,3,3026948.350000,1118670.220000,7125,1930,5195
09ec2ca9,09ec2ca9,0,3004690.925000,1126292.700000,7824,1939,5885
0a57a29c,0a57a29c,3,2901704.815000,1033292.015000,7194,1373,5821
0bbf5e67,0bbf5e67,4,2899299.860000,1034481.520000,6031,1733,4298
0be01c24,0be01c24,1,3006837.020000,1114061.900000,6385,1647,4738
0c1b160c,0c1b160c,2,2972609.690000,1092707.625000,6714,1660,5054
0d99f8e4,0d99f8e4,2,2895946.700000,1034167.715000,7522,1699,5823
0dc5e64d,0dc5e64d,4,3012975.300000,1122125.460000,6191,1312,4879
0dc835f3,0dc835f3,2,2994046.920000,1124446.480000,5279,851,4428
0dd99dc5,0dd99dc5,4,3006879.010000,1077631.455000,9182,1840,7342
0e5e560d,0e5e560d,4,3010114.155000,1130279.100000,4896,1643,3253
109d9d70,109d9d70,2,3020329.590000,1106778.150000,5851,1636,4215
10a1281a,10a1281a,3,2902246.560000,1029332.220000,7353,1744,5609
10b89021,10b89021,0,2983730.985000,1058671.425000,7166,1752,5414
10be2420,10be2420,2,2953562.460000,1085603.760000,5203,1932,3271
113011eb,113011eb,4,3003465.820000,1071207.130000,4561,1289,3272
1131525f,1131525f,3,2903173.455000,1024460.425000,5548,1389,4159
11d0f5ac,11d0f5ac,0,2889685.545000,1030657.115000,6378,1495,4883
12203f2a,12203f2a,0,3014399.290000,1115938.940000,4991,1730,3261
122bd617,122bd617,1,2957631.880000,1088295.870000,6408,1838,4570
125be846,125be846,2,2981423.110000,1106385.280000,8033,1523,6510
1285a37b,1285a37b,4,3014728.440000,1083210.500000,7403,1806,5597
1295a25b,1295a25b,3,2973577.770000,1064785.880000,7037,1486,5551
12f0cd90,12f0cd90,4,2999508.500000,1112606.810000,7431,1484,5947
137d1e44,137d1e44,1,3017276.780000,1084001.760000,6313,1759,4554
13ce113d,13ce113d,0,2896407.910000,1041906.480000,4875,1909,2966
13f598d9,13f598d9,2,3006565.785000,1077545.400000,8934,1628,7306
14a53cb3,14a53cb3,1,2911619.050000,1040017.655000,8780,1861,6919
14ab73fb,14ab73fb,3,2904078.270000,1019000.350000,5279,1630,3649
14ad5efb,14ad5efb,3,2998218.500000,1112077.550000,7352,1510,5842
14fee784,14fee784,3,2991165.620000,1124333.405000,6406,1496,4910
153552f5,153552f5,4,3002157.840000,1092298.110000,6498,1803,4695
1550491d,1550491d,2,3005798.300000,1113480.510000,5929,1366,4563
155887bb,155887bb,3,3008010.825000,1085961.185000,7062,1477,5585
1590af81,1590af81,4,2990210.000000,1092266.370000,5231,1432,3799
15e154a1,15e154a1,0,2960179.340000,1078451.550000,7699,1631,6068
1619e2ca,1619e2ca,1,2995445.915000,1094442.925000,6002,1559,4443
16e4a047,16e4a047,3,3011957.170000,1102215.210000,5684,1553,4131
173ed841,173ed841,2,3022100.530000,1084646.185000,6530,1647,4883
1770d7c6,1770d7c6,4,3009287.280000,1078690.540000,9121,1881,7240
177622d7,177622d7,3,3007523.140000,1088937.050000,4699,1545,3154
18d24f7b,18d24f7b,2,2905271.260000,1039285.355000,6260,1702,4558
19137a89,19137a89,2,3003940.180000,1132797.910000,7958,1691,6267
1944513c,1944513c,2,3005567.790000,1113155.410000,6599,1877,4722
197f8a5a,197f8a5a,4,2880396.875000,1022687.135000,8248,1938,6310
19871e7f,19871e7f,3,3000004.880000,1074132.245000,7152,1859,5293
198a5607,198a5607,3,2969850.395000,1097984.900000,8094,1843,6251
19fb4f7b,19fb4f7b,1,3015037.480000,1083239.950000,7923,2303,5620
1a518997,1a518997,1,2909595.975000,1037362.440000,6544,1938,4606
1a68190b,1a68190b,3,2948714.785000,1012450.220000,6502,2028,4474
1a730ac2,1a730ac2,2,2990359.830000,1092571.320000,6049,1444,4605
1aaf1da0,1aaf1da0,1,3005745.150000,1107664.500000,6321,1517,4804
1b08ed48,1b08ed48,0,2987067.980000,1068414.960000,7175,1557,5618
1b1c5372,1b1c5372,2,2999846.915000,1125311.475000,5792,1531,4261
1b1eba53,1b1eba53,0,3035418.280000,1096598.230000,6710,2055,4655
1b6ba517,1b6ba517,3,2923957.590000,1020144.680000,8611,2014,6597
1b82b665,1b82b665,3,3000433.800000,1125383.375000,5364,1558,3806
1bcb2fcf,1bcb2fcf,2,3013936.560000,1096638.915000,6202,1678,4524
1beca81d,1beca81d,0,2977672.825000,1088721.555000,6650,1614,5036
1d3fbf02,1d3fbf02,4,2965365.630000,1063473.090000,4252,1558,2694
1d78281a,1d78281a,2,2949017.515000,1012561.365000,6810,1861,4949
